htsc_code,index_name,sector_family,min_date,max_date,bar_count,train_2018_2021_bars,validation_2022_bars,test_2023_bars,sealed_2024_plus_bars,usable_in_initial_train,usable_in_validation,usable_in_test
881134.THS,食品加工制造,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881135.THS,纺织制造,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881136.THS,服装家纺,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881137.THS,造纸,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881138.THS,包装印刷,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881139.THS,家居用品,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881140.THS,化学制药,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881141.THS,中药,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881142.THS,生物制品,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881143.THS,医药商业,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881144.THS,医疗器械,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881145.THS,电力,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881146.THS,燃气,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881148.THS,港口航运,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881149.THS,公路铁路运输,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881151.THS,机场航运,881,2010-01-04,2026-08-11,4030,973,242,242,631,True,True,True
881152.THS,物流,881,2010-01-04,2026-08-11,4030,973,242,242,631,True,True,True
881153.THS,房地产,881,2010-01-04,2026-08-11,4030,973,242,242,631,True,True,True
881155.THS,银行,881,2010-01-04,2026-08-11,4030,973,242,242,631,True,True,True
881156.THS,保险,881,2010-01-04,2026-08-11,4030,973,242,242,631,True,True,True
881157.THS,证券,881,2010-01-04,2026-08-11,4030,973,242,242,631,True,True,True
881158.THS,零售,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881159.THS,贸易,881,2010-01-04,2026-08-11,4030,973,242,242,631,True,True,True
881160.THS,旅游及酒店,881,2010-01-04,2026-08-11,4030,973,242,242,631,True,True,True
881162.THS,通信服务,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881164.THS,文化传媒,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881165.THS,综合,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881166.THS,军工装备,881,2015-01-05,2026-08-11,2820,973,242,242,631,True,True,True
881167.THS,非金属材料,881,2014-11-03,2026-08-11,2860,973,242,242,631,True,True,True
881168.THS,工业金属,881,2010-01-04,2026-08-11,4032,973,242,242,631,True,True,True
881169.THS,贵金属,881,2010-01-04,2026-08-11,4032,973,242,242,631,True,True,True
881170.THS,小金属,881,2010-01-04,2026-08-11,4032,973,242,242,631,True,True,True
881171.THS,自动化设备,881,2010-01-04,2026-08-11,4032,973,242,242,631,True,True,True
881172.THS,电子化学品,881,2010-02-12,2026-08-11,4000,973,242,242,631,True,True,True
881173.THS,小家电,881,2010-01-04,2026-08-11,4032,973,242,242,631,True,True,True
881174.THS,厨卫电器,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881175.THS,医疗服务,881,2010-01-04,2026-08-11,4032,973,242,242,631,True,True,True
881177.THS,互联网电商,881,2010-01-04,2026-08-11,4032,973,242,242,631,True,True,True
881178.THS,教育,881,2010-01-04,2026-08-11,4032,973,242,242,631,True,True,True
881179.THS,其他社会服务,881,2010-01-04,2026-08-11,4032,973,242,242,631,True,True,True
881180.THS,石油加工贸易,881,2010-01-04,2026-08-11,4032,973,242,242,631,True,True,True
881181.THS,环境治理,881,2010-01-04,2026-08-11,4032,973,242,242,631,True,True,True
881182.THS,美容护理,881,2010-01-04,2026-08-11,4032,973,242,242,631,True,True,True
881263.THS,农化制品,881,2014-01-02,2026-08-11,3063,973,242,242,631,True,True,True
881264.THS,化学纤维,881,2014-01-02,2026-08-11,3063,973,242,242,631,True,True,True
881265.THS,塑料制品,881,2014-01-02,2026-08-11,3063,973,242,242,631,True,True,True
881266.THS,橡胶制品,881,2014-01-02,2026-08-11,3063,973,242,242,631,True,True,True
881267.THS,能源金属,881,2010-01-04,2026-08-11,4032,973,242,242,631,True,True,True
881268.THS,工程机械,881,2018-11-26,2026-08-11,1870,755,242,242,631,True,True,True
881269.THS,轨交设备,881,2018-11-26,2026-08-11,1870,755,242,242,631,True,True,True
881270.THS,元件,881,2014-01-02,2026-08-11,3063,973,242,242,631,True,True,True
881271.THS,IT服务,881,2010-01-04,2026-08-11,4032,973,242,242,631,True,True,True
881272.THS,软件开发,881,2018-11-26,2026-08-11,1870,755,242,242,631,True,True,True
881273.THS,白酒,881,2018-11-26,2026-08-11,1870,755,242,242,631,True,True,True
881274.THS,影视院线,881,2018-11-26,2026-08-11,1870,755,242,242,631,True,True,True
881275.THS,游戏,881,2010-01-04,2026-08-11,4032,973,242,242,631,True,True,True
881276.THS,军工电子,881,2010-01-04,2026-08-11,4032,973,242,242,631,True,True,True
881277.THS,电机,881,2018-11-26,2026-08-11,1870,755,242,242,631,True,True,True
881278.THS,电网设备,881,2014-01-02,2026-08-11,3064,973,242,242,631,True,True,True
881279.THS,光伏设备,881,2010-01-04,2026-08-11,4032,973,242,242,631,True,True,True
881280.THS,风电设备,881,2010-01-04,2026-08-11,4032,973,242,242,631,True,True,True
881281.THS,电池,881,2010-01-04,2026-08-11,4032,973,242,242,631,True,True,True
881282.THS,其他电源设备,881,2010-01-04,2026-08-11,4032,973,242,242,631,True,True,True
881283.THS,多元金融,881,2018-11-26,2026-08-11,1870,755,242,242,631,True,True,True
881284.THS,环保设备,881,2018-11-26,2026-08-11,1870,755,242,242,631,True,True,True
885311.THS,智能电网,885,2010-01-04,2026-08-11,4028,973,242,242,631,True,True,True
885312.THS,物联网,885,2010-01-04,2026-08-11,4030,973,242,242,631,True,True,True
885333.THS,移动支付,885,2010-03-15,2026-08-10,3975,973,242,242,630,True,True,True
885338.THS,融资融券,885,2015-01-23,2026-08-11,2806,973,242,242,631,True,True,True
885343.THS,稀土永磁,885,2010-03-15,2026-08-11,3893,973,242,242,631,True,True,True
885345.THS,新疆振兴,885,2010-03-15,2026-08-10,3853,973,242,242,630,True,True,True
885355.THS,石墨烯,885,2010-03-15,2026-08-11,3727,973,242,242,631,True,True,True
885362.THS,云计算,885,2011-07-01,2026-08-11,3659,973,242,242,621,True,True,True
885372.THS,页岩气,885,2010-03-15,2026-08-11,3384,973,242,242,631,True,True,True
885376.THS,苹果概念,885,2012-05-15,2026-08-11,3383,973,242,242,631,True,True,True
885378.THS,智慧城市,885,2012-04-09,2026-08-11,3375,973,242,242,631,True,True,True
885386.THS,建筑节能,885,2022-03-17,2026-08-11,1068,0,195,242,631,False,True,True
885398.THS,煤化工概念,885,2012-04-09,2026-08-11,3233,973,242,242,631,True,True,True
885402.THS,智能医疗,885,2012-04-09,2026-08-10,3232,973,242,242,630,True,True,True
885406.THS,食品安全,885,2012-04-09,2026-08-11,3225,973,242,242,631,True,True,True
885410.THS,固废处理,885,2012-04-09,2026-08-11,3224,973,242,242,631,True,True,True
885412.THS,污水处理,885,2012-04-09,2026-08-10,3223,973,242,242,630,True,True,True
885413.THS,创投,885,2012-04-09,2026-08-10,3222,973,242,242,630,True,True,True
885418.THS,文化传媒概念,885,2012-04-09,2026-08-11,3224,973,242,242,631,True,True,True
885423.THS,安防,885,2012-04-09,2026-08-11,3223,973,242,242,631,True,True,True
885425.THS,特高压,885,2012-04-09,2026-08-11,3223,973,242,242,631,True,True,True
885426.THS,海工装备,885,2013-05-09,2026-08-10,3221,973,242,242,630,True,True,True
885427.THS,高端装备,885,2013-05-09,2026-08-11,3222,973,242,242,631,True,True,True
885428.THS,特钢概念,885,2013-05-09,2026-08-11,3222,973,242,242,631,True,True,True
885430.THS,天然气,885,2013-05-13,2026-08-11,3220,973,242,242,631,True,True,True
885431.THS,新能源汽车,885,2013-05-13,2026-08-11,3217,973,242,242,631,True,True,True
885439.THS,土地流转,885,2013-05-13,2026-08-11,3218,973,242,242,631,True,True,True
885454.THS,智能穿戴,885,2013-06-06,2026-08-11,3200,973,242,242,631,True,True,True
885456.THS,互联网金融,885,2013-06-27,2026-08-11,3190,973,242,242,631,True,True,True
885457.THS,手机游戏,885,2013-07-01,2026-08-11,3189,973,242,242,631,True,True,True
885459.THS,网络安全,885,2013-07-02,2026-08-10,3187,973,242,242,630,True,True,True
885461.THS,充电桩,885,2013-07-22,2026-08-10,3173,973,242,242,630,True,True,True
885462.THS,乳业,885,2013-07-25,2026-08-11,3171,973,242,242,631,True,True,True
885467.THS,特斯拉概念,885,2013-08-07,2026-08-11,3159,973,242,242,631,True,True,True
885472.THS,上海自贸区,885,2013-08-13,2026-08-11,3159,973,242,242,631,True,True,True
885478.THS,智能家居,885,2013-09-02,2026-08-11,3144,973,242,242,631,True,True,True
885480.THS,在线教育,885,2013-09-02,2026-08-11,3144,973,242,242,631,True,True,True
885487.THS,天津自贸区,885,2013-10-10,2026-08-11,3123,973,242,242,631,True,True,True
885490.THS,民营医院,885,2013-10-21,2026-08-11,3116,973,242,242,631,True,True,True
885493.THS,上海国企改革,885,2013-10-25,2026-08-11,3112,973,242,242,631,True,True,True
885494.THS,一带一路,885,2013-10-25,2026-08-11,3112,973,242,242,631,True,True,True
885497.THS,旅游概念,885,2013-11-05,2026-08-11,3105,973,242,242,631,True,True,True
885502.THS,冷链物流,885,2013-12-05,2026-08-11,3083,973,242,242,631,True,True,True
885505.THS,生态农业,885,2013-12-10,2026-08-10,3079,973,242,242,630,True,True,True
885508.THS,禽流感,885,2013-12-24,2026-08-11,3070,973,242,242,631,True,True,True
885514.THS,京津冀一体化,885,2014-04-04,2026-08-10,3002,973,242,242,630,True,True,True
885517.THS,机器人概念,885,2014-04-10,2026-08-11,2999,973,242,242,631,True,True,True
885520.THS,沪股通,885,2014-04-14,2026-08-11,2997,973,242,242,631,True,True,True
885521.THS,粤港澳大湾区,885,2014-04-14,2026-08-11,2998,973,242,242,631,True,True,True
885522.THS,养老概念,885,2014-04-15,2026-08-11,2997,973,242,242,631,True,True,True
885525.THS,白酒概念,885,2014-04-15,2026-08-11,2997,973,242,242,631,True,True,True
885530.THS,黄金概念,885,2014-04-21,2026-08-11,2993,973,242,242,631,True,True,True
885531.THS,光伏概念,885,2014-04-21,2026-08-11,2993,973,242,242,631,True,True,True
885537.THS,3D打印,885,2014-04-25,2026-08-11,2988,973,242,242,631,True,True,True
885539.THS,医疗器械概念,885,2014-04-28,2026-08-11,2988,973,242,242,631,True,True,True
885540.THS,三胎概念,885,2014-04-28,2026-08-11,2988,973,242,242,631,True,True,True
885543.THS,家用电器,885,2014-05-05,2026-08-11,2984,973,242,242,631,True,True,True
885545.THS,汽车电子,885,2014-05-07,2026-08-11,2983,973,242,242,631,True,True,True
885551.THS,氟化工概念,885,2014-05-13,2026-08-11,2979,973,242,242,631,True,True,True
885552.THS,小金属概念,885,2014-05-13,2026-08-11,2979,973,242,242,631,True,True,True
885555.THS,PM2.5,885,2014-05-13,2026-08-11,2979,973,242,242,631,True,True,True
885556.THS,5G,885,2014-05-13,2026-08-11,2978,973,242,242,631,True,True,True
885562.THS,高铁,885,2014-05-15,2026-08-11,2977,973,242,242,631,True,True,True
885564.THS,无人机,885,2014-05-16,2026-08-11,2976,973,242,242,631,True,True,True
885566.THS,大飞机,885,2014-05-19,2026-08-11,2975,973,242,242,631,True,True,True
885570.THS,期货概念,885,2014-05-21,2026-08-11,2973,973,242,242,631,True,True,True
885571.THS,核电,885,2014-05-21,2026-08-10,2972,973,242,242,630,True,True,True
885572.THS,水利,885,2014-05-22,2026-08-10,2971,973,242,242,630,True,True,True
885573.THS,猪肉,885,2014-05-22,2026-08-10,2971,973,242,242,630,True,True,True
885574.THS,卫星导航,885,2014-05-23,2026-08-10,2969,973,242,242,630,True,True,True
885578.THS,基因测序,885,2014-05-27,2026-08-11,2969,973,242,242,631,True,True,True
885580.THS,足球概念,885,2014-06-06,2026-08-11,2962,973,242,242,631,True,True,True
885586.THS,职业教育,885,2014-06-30,2026-08-11,2946,973,242,242,631,True,True,True
885587.THS,举牌,885,2014-07-04,2026-08-11,2942,973,242,242,631,True,True,True
885591.THS,中韩自贸区,885,2014-07-14,2026-08-11,2936,973,242,242,631,True,True,True
885595.THS,央企国企改革,885,2014-07-17,2026-08-11,2931,973,242,242,631,True,True,True
885598.THS,新股与次新股,885,2014-07-31,2026-08-11,2921,973,242,242,631,True,True,True
885603.THS,网络游戏,885,2014-08-21,2026-08-11,2908,973,242,242,631,True,True,True
885611.THS,阿里巴巴概念,885,2014-09-30,2026-08-11,2882,973,242,242,631,True,True,True
885615.THS,体育产业,885,2014-10-24,2026-08-11,2869,973,242,242,631,True,True,True
885617.THS,福建自贸区,885,2014-10-31,2026-08-11,2864,973,242,242,631,True,True,True
885620.THS,参股券商,885,2014-12-02,2026-08-11,2842,973,242,242,631,True,True,True
885623.THS,参股保险,885,2014-12-04,2026-08-11,2838,973,242,242,631,True,True,True
885629.THS,农村电商,885,2014-12-24,2026-08-11,2826,973,242,242,631,True,True,True
885633.THS,染料,885,2015-01-23,2026-08-11,2806,973,242,242,631,True,True,True
885640.THS,草甘膦,885,2015-05-11,2026-08-11,2737,973,242,242,631,True,True,True
885641.THS,风电,885,2015-05-11,2026-08-11,2737,973,242,242,631,True,True,True
885642.THS,跨境电商,885,2015-05-11,2026-08-11,2737,973,242,242,631,True,True,True
885650.THS,碳纤维,885,2015-05-11,2026-08-10,2736,973,242,242,630,True,True,True
885652.THS,钛白粉概念,885,2015-05-11,2026-08-11,2737,973,242,242,631,True,True,True
885661.THS,医药电商,885,2015-08-12,2026-08-11,2671,973,242,242,631,True,True,True
885662.THS,车联网(车路协同),885,2015-08-12,2026-08-10,2670,973,242,242,630,True,True,True
885663.THS,证金持股,885,2015-08-12,2026-08-11,2671,973,242,242,631,True,True,True
885690.THS,PPP概念,885,2015-08-28,2026-08-11,2659,973,242,242,631,True,True,True
885692.THS,地下管网,885,2015-08-28,2026-08-11,2659,973,242,242,631,True,True,True
885694.THS,深股通,885,2015-09-11,2026-08-11,2651,973,242,242,631,True,True,True
885697.THS,深圳国企改革,885,2015-09-11,2026-08-11,2651,973,242,242,631,True,True,True
885699.THS,ST板块,885,2015-09-15,2026-08-11,2649,973,242,242,631,True,True,True
885700.THS,军工,885,2015-09-15,2026-08-11,2649,973,242,242,631,True,True,True
885705.THS,乡村振兴,885,2015-11-04,2026-08-11,2618,973,242,242,631,True,True,True
885706.THS,农机,885,2015-11-04,2026-08-11,2618,973,242,242,631,True,True,True
885709.THS,虚拟现实,885,2015-11-12,2026-08-11,2612,973,242,242,631,True,True,True
885710.THS,锂电池概念,885,2015-11-13,2026-08-11,2611,973,242,242,631,True,True,True
885728.THS,人工智能,885,2016-03-10,2026-08-11,2533,973,242,242,631,True,True,True
885730.THS,量子科技,885,2016-02-29,2026-08-11,2541,973,242,242,631,True,True,True
885733.THS,航运概念,885,2016-03-10,2026-08-11,2533,973,242,242,631,True,True,True
885734.THS,广东自贸区,885,2016-03-10,2026-08-11,2533,973,242,242,631,True,True,True
885736.THS,无人驾驶,885,2016-03-18,2026-08-11,2527,973,242,242,631,True,True,True
885737.THS,电子竞技,885,2016-04-01,2026-08-11,2517,973,242,242,631,True,True,True
885738.THS,OLED,885,2016-05-05,2026-08-11,2495,973,242,242,631,True,True,True
885739.THS,股权转让(并购重组),885,2016-10-12,2026-08-11,2390,973,242,242,631,True,True,True
885740.THS,化债概念(AMC概念),885,2016-10-14,2026-08-11,2388,973,242,242,631,True,True,True
885741.THS,中字头股票,885,2016-12-05,2026-08-11,2352,973,242,242,631,True,True,True
885742.THS,摘帽,885,2017-03-02,2026-08-11,2295,973,242,242,631,True,True,True
885743.THS,军民融合,885,2017-03-24,2026-08-11,2279,973,242,242,631,True,True,True
885744.THS,雄安新区,885,2017-04-05,2026-08-11,2273,973,242,242,631,True,True,True
885747.THS,共享单车,885,2017-06-23,2026-08-11,2219,973,242,242,631,True,True,True
885748.THS,可燃冰,885,2017-06-23,2026-08-11,2219,973,242,242,631,True,True,True
885749.THS,蚂蚁集团概念,885,2017-06-23,2026-08-11,2219,973,242,242,631,True,True,True
885750.THS,特色小镇,885,2017-06-23,2026-08-11,2219,973,242,242,631,True,True,True
885753.THS,网约车,885,2017-06-23,2026-08-11,2219,973,242,242,631,True,True,True
885756.THS,芯片概念,885,2017-07-18,2026-08-11,2202,973,242,242,631,True,True,True
885757.THS,区块链,885,2017-08-03,2026-08-11,2190,973,242,242,631,True,True,True
885758.THS,租售同权,885,2017-08-03,2026-08-11,2190,973,242,242,631,True,True,True
885759.THS,人脸识别,885,2017-08-25,2026-08-11,2174,973,242,242,631,True,True,True
885760.THS,装配式建筑,885,2017-09-18,2026-08-11,2158,973,242,242,631,True,True,True
885761.THS,超级品牌,885,2017-10-31,2026-08-11,2132,973,242,242,631,True,True,True
885764.THS,自由贸易港,885,2017-11-14,2026-08-11,2122,973,242,242,631,True,True,True
885767.THS,互联网保险,885,2017-11-17,2026-08-11,2119,973,242,242,631,True,True,True
885768.THS,无人零售,885,2017-11-17,2026-08-11,2119,973,242,242,631,True,True,True
885769.THS,细胞免疫治疗,885,2017-11-17,2026-08-11,2119,973,242,242,631,True,True,True
885770.THS,智能物流,885,2017-11-17,2026-08-11,2119,973,242,242,631,True,True,True
885771.THS,智能音箱,885,2017-11-17,2026-08-11,2119,973,242,242,631,True,True,True
885772.THS,语音技术,885,2017-11-20,2026-08-11,2118,973,242,242,631,True,True,True
885774.THS,无线充电,885,2017-11-27,2026-08-11,2113,973,242,242,631,True,True,True
885775.THS,燃料电池,885,2017-11-28,2026-08-11,2112,973,242,242,631,True,True,True
885779.THS,腾讯概念,885,2017-12-18,2026-08-11,2098,973,242,242,631,True,True,True
885780.THS,啤酒概念,885,2018-01-08,2026-08-11,2084,969,242,242,631,True,True,True
885781.THS,石墨电极,885,2018-01-08,2026-08-11,2084,969,242,242,631,True,True,True
885782.THS,水泥概念,885,2018-01-09,2026-08-11,2083,968,242,242,631,True,True,True
885783.THS,工业互联网,885,2018-02-26,2026-08-11,2054,939,242,242,631,True,True,True
885785.THS,小米概念,885,2018-03-06,2026-08-11,2048,933,242,242,631,True,True,True
885786.THS,富士康概念,885,2018-03-06,2026-08-11,2048,933,242,242,631,True,True,True
885787.THS,独角兽概念,885,2018-03-06,2026-08-11,2048,933,242,242,631,True,True,True
885789.THS,宁德时代概念,885,2018-03-14,2026-08-11,2042,927,242,242,631,True,True,True
885791.THS,知识产权保护,885,2018-04-10,2026-08-11,2025,910,242,242,631,True,True,True
885792.THS,赛马概念,885,2018-04-16,2026-08-11,2021,906,242,242,631,True,True,True
885795.THS,国产航母,885,2018-05-14,2026-08-11,2003,888,242,242,631,True,True,True
885797.THS,百度概念,885,2018-06-12,2026-08-11,1982,867,242,242,631,True,True,True
885800.THS,消费电子概念,885,2018-08-30,2026-08-11,1925,810,242,242,631,True,True,True
885805.THS,芬太尼,885,2018-12-04,2026-08-11,1864,749,242,242,631,True,True,True
885806.THS,华为概念,885,2018-12-07,2026-08-11,1861,746,242,242,631,True,True,True
885808.THS,养鸡,885,2019-02-12,2026-08-11,1821,706,242,242,631,True,True,True
885809.THS,柔性屏(折叠屏),885,2019-02-19,2026-08-11,1816,701,242,242,631,True,True,True
885810.THS,大豆,885,2019-02-20,2026-08-11,1815,700,242,242,631,True,True,True
885811.THS,玉米,885,2019-02-20,2026-08-11,1815,700,242,242,631,True,True,True
885812.THS,农业种植,885,2019-02-21,2026-08-11,1814,699,242,242,631,True,True,True
885814.THS,信托概念,885,2019-02-28,2026-08-11,1809,694,242,242,631,True,True,True
885818.THS,工业大麻,885,2019-03-07,2026-08-11,1804,689,242,242,631,True,True,True
885819.THS,电力物联网,885,2019-03-13,2026-08-11,1800,685,242,242,631,True,True,True
885820.THS,数字孪生,885,2019-03-13,2026-08-11,1800,685,242,242,631,True,True,True
885823.THS,氢能源,885,2019-03-19,2026-08-11,1796,681,242,242,631,True,True,True
885825.THS,冰雪产业,885,2019-04-01,2026-08-11,1787,672,242,242,631,True,True,True
885827.THS,横琴新区,885,2019-04-02,2026-08-11,1786,671,242,242,631,True,True,True
885829.THS,丙烯酸,885,2019-04-09,2026-08-11,1782,667,242,242,631,True,True,True
885832.THS,长三角一体化,885,2019-04-11,2026-08-11,1780,665,242,242,631,True,True,True
885834.THS,华为汽车,885,2021-04-19,2026-08-11,1289,174,242,242,631,True,True,True
885835.THS,参股银行,885,2019-04-16,2026-08-11,1777,662,242,242,631,True,True,True
885838.THS,眼科医疗,885,2019-04-26,2026-08-11,1769,654,242,242,631,True,True,True
885839.THS,人造肉,885,2019-05-08,2026-08-11,1764,649,242,242,631,True,True,True
885840.THS,人民币贬值受益,885,2019-05-13,2026-08-10,1760,646,242,242,630,True,True,True
885842.THS,数字乡村,885,2019-05-17,2026-08-11,1757,642,242,242,631,True,True,True
885843.THS,华为海思概念股,885,2019-05-21,2026-08-11,1755,640,242,242,631,True,True,True
885844.THS,国产操作系统,885,2019-05-22,2026-08-11,1754,639,242,242,631,True,True,True
885845.THS,生物疫苗,885,2019-05-27,2026-08-11,1751,636,242,242,631,True,True,True
885846.THS,动物疫苗,885,2019-05-27,2026-08-11,1751,636,242,242,631,True,True,True
885849.THS,黑龙江自贸区,885,2019-06-05,2026-08-11,1744,629,242,242,631,True,True,True
885851.THS,烟草,885,2019-06-17,2026-08-11,1737,622,242,242,631,True,True,True
885852.THS,青蒿素,885,2019-06-18,2026-08-11,1736,621,242,242,631,True,True,True
885854.THS,垃圾分类,885,2019-06-21,2026-08-11,1733,618,242,242,631,True,True,True
885856.THS,仿制药一致性评价,885,2019-06-25,2026-08-11,1731,616,242,242,631,True,True,True
885860.THS,中船系,885,2019-07-03,2026-08-11,1725,610,242,242,631,True,True,True
885861.THS,ETC,885,2019-07-08,2026-08-11,1722,607,242,242,631,True,True,True
885863.THS,磷化工,885,2019-07-15,2026-08-11,1717,602,242,242,631,True,True,True
885864.THS,光刻胶,885,2019-07-18,2026-08-11,1714,599,242,242,631,True,True,True
885865.THS,金属钴,885,2019-08-08,2026-08-11,1699,584,242,242,631,True,True,True
885866.THS,数字货币,885,2019-09-18,2026-08-11,1671,556,242,242,631,True,True,True
885868.THS,无线耳机,885,2019-11-05,2026-08-11,1642,527,242,242,631,True,True,True
885874.THS,云游戏,885,2019-12-16,2026-08-11,1613,498,242,242,631,True,True,True
885875.THS,MiniLED,885,2019-12-17,2026-08-11,1612,497,242,242,631,True,True,True
885876.THS,网红经济,885,2019-12-27,2026-08-11,1604,489,242,242,631,True,True,True
885877.THS,转基因,885,2020-01-06,2026-08-11,1599,484,242,242,631,True,True,True
885878.THS,HJT电池,885,2020-01-20,2026-08-11,1589,474,242,242,631,True,True,True
885879.THS,流感,885,2020-01-21,2026-08-11,1588,473,242,242,631,True,True,True
885881.THS,云办公,885,2020-02-03,2026-08-11,1585,470,242,242,631,True,True,True
885882.THS,消毒剂,885,2020-02-06,2026-08-11,1582,467,242,242,631,True,True,True
885884.THS,航空发动机,885,2020-02-19,2026-08-11,1573,458,242,242,631,True,True,True
885886.THS,超级电容,885,2020-02-24,2026-08-11,1570,455,242,242,631,True,True,True
885887.THS,数据中心(AIDC),885,2020-03-06,2026-08-11,1561,446,242,242,631,True,True,True
885888.THS,C2M概念,885,2020-03-30,2026-08-11,1545,430,242,242,631,True,True,True
885890.THS,抖音概念(字节概念),885,2020-04-24,2026-08-11,1527,412,242,242,631,True,True,True
885893.THS,国家大基金持股,885,2020-05-20,2026-08-11,1512,397,242,242,631,True,True,True
885894.THS,海南自贸区,885,2020-06-03,2026-08-11,1502,387,242,242,631,True,True,True
885897.THS,中芯国际概念,885,2020-07-03,2026-08-11,1482,367,242,242,631,True,True,True
885898.THS,免税店,885,2020-07-06,2026-08-11,1481,366,242,242,631,True,True,True
885899.THS,新型烟草(电子烟),885,2020-07-08,2026-08-11,1479,364,242,242,631,True,True,True
885900.THS,NMN概念,885,2020-07-16,2026-08-10,1472,358,242,242,630,True,True,True
885901.THS,可降解塑料,885,2020-08-05,2026-08-11,1459,344,242,242,631,True,True,True
885902.THS,汽车拆解概念,885,2020-08-05,2026-08-11,1459,344,242,242,631,True,True,True
885903.THS,环氧丙烷,885,2020-08-13,2026-08-11,1453,338,242,242,631,True,True,True
885904.THS,代糖概念,885,2020-08-14,2026-08-11,1452,337,242,242,631,True,True,True
885905.THS,注册制次新股,885,2020-08-25,2026-08-11,1445,330,242,242,631,True,True,True
885907.THS,科创次新股,885,2020-08-24,2026-08-11,1446,331,242,242,631,True,True,True
885908.THS,第三代半导体,885,2020-09-07,2026-08-11,1436,321,242,242,631,True,True,True
885909.THS,辅助生殖,885,2020-10-23,2026-08-11,1408,293,242,242,631,True,True,True
885910.THS,拼多多概念,885,2020-10-26,2026-08-11,1407,292,242,242,631,True,True,True
885912.THS,有机硅概念,885,2020-11-13,2026-08-11,1393,278,242,242,631,True,True,True
885913.THS,医美概念,885,2020-11-16,2026-08-11,1392,277,242,242,631,True,True,True
